year,session,code,unit,max_mark,A*,A,B,C,D,E
2024,june,BL01,BIOLOGY UNIT 1,75,,52,46,41,36,31
2024,june,BL02,BIOLOGY UNIT 2,75,,46,41,36,31,26
2024,june,BL03,BIOLOGY UNIT 3,75,50,45,40,35,30,26
2024,june,BL04,BIOLOGY UNIT 4,75,55,49,43,38,33,28
2024,june,BL05,BIOLOGY UNIT 5,75,52,47,42,37,33,29
2024,june,BU01,BUSINESS UNIT 1,80,,56,49,42,35,28
2024,june,BU02,BUSINESS UNIT 2,80,,53,46,39,32,25
2024,june,BU03,BUSINESS UNIT 3,80,62,55,48,41,34,27
2024,june,BU04,BUSINESS UNIT 4,80,69,61,53,45,38,31
2024,june,CH01,CHEMISTRY UNIT 1,70,,54,48,42,36,30
2024,june,CH02,CHEMISTRY UNIT 2,70,,52,45,38,31,25
2024,june,CH03,CHEMISTRY UNIT 3,80,68,60,52,44,36,29
2024,june,CH04,CHEMISTRY UNIT 4,80,70,62,54,46,38,31
2024,june,CH05,CHEMISTRY UNIT 5,60,52,46,40,34,29,24
2024,june,EC01,ECONOMICS UNIT 1,80,,59,51,43,35,27
2024,june,EC02,ECONOMICS UNIT 2,80,,58,51,44,37,30
2024,june,EC03,ECONOMICS UNIT 3,90,72,64,56,48,40,33
2024,june,EC04,ECONOMICS UNIT 4,90,73,65,57,49,41,33
2024,june,EN01,ENGLISH LANGUAGE UNIT 1,50,,40,35,30,25,21
2024,june,EN02,ENGLISH LANGUAGE UNIT 2,50,,37,33,29,25,21
2024,june,EN03,ENGLISH LANGUAGE UNIT 3,50,44,39,34,29,25,21
2024,june,EN04B,ENGLISH LANGUAGE UNIT 4B,50,45,41,35,30,25,20
2024,june,LT01,ENGLISH LITERATURE UNIT 1,50,,33,28,23,18,14
2024,june,LT02,ENGLISH LITERATURE UNIT 2,50,,34,29,24,19,15
2024,june,LT03,ENGLISH LITERATURE UNIT 3,50,41,36,31,26,21,17
2024,june,LT04A,ENGLISH LITERATURE UNIT 4A,50,35,31,27,23,19,16
2024,june,LT04B,ENGLISH LITERATURE UNIT 4B,50,45,40,34,28,23,18
2024,june,GG01A,GEOGRAPHY UNIT 1 OPTION A,80,,50,44,38,32,26
2024,june,GG01B,GEOGRAPHY UNIT 1 OPTION B,80,,50,43,37,31,25
2024,june,GG02,GEOGRAPHY UNIT 2,80,,50,44,38,32,26
2024,june,GG03,GEOGRAPHY UNIT 3,80,57,50,43,36,30,24
2024,june,GG04,GEOGRAPHY UNIT 4,80,57,50,43,36,30,24
2024,june,GG05,GEOGRAPHY UNIT 5,60,49,43,37,31,25,20
2024,june,FM01,FURTHER MATHS UNIT 1 (FP1),80,,63,54,45,37,29
2024,june,FM02,FURTHER MATHS UNIT 2 (FPSM1),80,,63,55,47,39,31
2024,june,FM03,FURTHER MATHS UNIT 3 (FP2),120,104,92,80,68,56,44
2024,june,FM04,FURTHER MATHS UNIT 4 (FS2),80,71,62,53,44,35,27
2024,june,FM05,FURTHER MATHS UNIT 5 (FM2),80,69,61,53,45,37,30
2024,june,MA01,MATHS UNIT 1 (P1),80,,60,51,43,35,27
2024,june,MA02,MATHS UNIT 2 (PSM1),80,,62,54,46,38,30
2024,june,MA03,MATHS UNIT 3 (P2),120,106,94,82,70,58,47
2024,june,MA04,MATHS UNIT 4 (S2),80,72,64,56,48,40,33
2024,june,MA05,MATHS UNIT 5 (M2),80,70,62,54,46,38,31
2024,june,PH01,PHYSICS UNIT 1,80,,52,47,42,38,34
2024,june,PH02,PHYSICS UNIT 2,80,,46,40,34,29,24
2024,june,PH03,PHYSICS UNIT 3,80,56,50,44,38,32,27
2024,june,PH04,PHYSICS UNIT 4,80,63,56,49,42,35,29
2024,june,PH05,PHYSICS UNIT 5,80,57,50,43,36,30,24
2024,june,PS01,PSYCHOLOGY UNIT 1,90,,61,53,45,37,30
2024,june,PS02,PSYCHOLOGY UNIT 2,90,,66,57,48,40,32
2024,june,PS03,PSYCHOLOGY UNIT 3,90,77,68,59,50,42,34
2024,june,PS04,PSYCHOLOGY UNIT 4,90,74,65,56,47,39,31
2024,june,9695,INTERNATIONAL EXTENDED PROJECT,60,54,48,42,36,30,25
2023,january,BL01,BIOLOGY UNIT 1,75,,48,42,36,30,25
2023,january,BL02,BIOLOGY UNIT 2,75,,45,40,35,30,26
2023,january,BL03,BIOLOGY UNIT 3,75,51,46,41,36,31,26
2023,january,BL04,BIOLOGY UNIT 4,75,50,45,40,35,31,27
2023,january,BL05,BIOLOGY UNIT 5,75,49,44,39,35,31,27
2023,january,BU01,BUSINESS UNIT 1,80,,56,49,42,35,29
2023,january,BU02,BUSINESS UNIT 2,80,,54,47,41,35,29
2023,january,BU03,BUSINESS UNIT 3,80,69,61,53,45,37,29
2023,january,BU04,BUSINESS UNIT 4,80,69,61,53,45,37,30
2023,january,CH01,CHEMISTRY UNIT 1,70,,52,45,38,32,26
2023,january,CH02,CHEMISTRY UNIT 2,70,,52,45,38,32,26
2023,january,CH03,CHEMISTRY UNIT 3,80,64,56,48,40,33,26
2023,january,CH04,CHEMISTRY UNIT 4,80,63,55,47,39,31,24
2023,january,CH05,CHEMISTRY UNIT 5,60,48,43,38,33,28,23
2023,january,EC01,ECONOMICS UNIT 1,80,,58,50,42,34,26
2023,january,EC02,ECONOMICS UNIT 2,80,,58,50,42,35,28
2023,january,EC03,ECONOMICS UNIT 3,90,73,65,57,49,41,33
2023,january,EC04,ECONOMICS UNIT 4,90,75,66,57,49,41,33
2023,january,EN02,ENGLISH LANGUAGE UNIT 2,50,,36,31,26,22,18
2023,january,EN03,ENGLISH LANGUAGE UNIT 3,50,43,38,33,28,23,19
2023,january,EN04A,ENGLISH LANGUAGE UNIT 4A,50,43,38,33,28,23,19
2023,january,EN04B,ENGLISH LANGUAGE UNIT 4B,50,43,38,33,28,23,19
2023,january,LT01,ENGLISH LITERATURE UNIT 1,50,,32,27,22,17,12
2023,january,LT02,ENGLISH LITERATURE UNIT 2,50,,32,27,22,17,13
2023,january,FM01,FURTHER MATHS UNIT 1 (FP1),80,,59,51,43,35,28
2023,january,FM02,FURTHER MATHS UNIT 2 (FPSM1),80,,59,51,43,36,29
2023,january,FM03,FURTHER MATHS UNIT 3 (FP2),120,100,88,76,64,53,42
2023,january,FM04,FURTHER MATHS UNIT 4 (FS2),80,62,54,46,39,32,25
2023,january,FM05,FURTHER MATHS UNIT 5 (FM2),80,65,58,51,44,37,30
2023,january,GG01A,GEOGRAPHY UNIT 1 OPTION A,80,,49,42,35,28,21
2023,january,GG02,GEOGRAPHY UNIT 2,80,,52,44,37,30,23
2023,january,GG03,GEOGRAPHY UNIT 3,80,66,57,48,39,30,22
2023,january,GG04,GEOGRAPHY UNIT 4,80,68,59,50,41,32,24
2023,january,GG05,GEOGRAPHY UNIT 5,60,47,41,35,29,23,18
2023,january,MA01,MATHS UNIT 1 (P1),80,,58,50,42,34,27
2023,january,MA02,MATHS UNIT 2 (PSM1),80,,60,52,44,37,30
2023,january,MA03,MATHS UNIT 3 (P2),120,102,90,78,67,56,45
2023,january,MA04,MATHS UNIT 4 (S2),80,69,61,53,45,37,30
2023,january,MA05,MATHS UNIT 5 (M2),80,68,60,52,44,36,29
2023,january,PH01,PHYSICS UNIT 1,80,,47,42,37,32,27
2023,january,PH02,PHYSICS UNIT 2,80,,51,45,39,33,28
2023,january,PH03,PHYSICS UNIT 3,80,53,48,43,38,33,28
2023,january,PH04,PHYSICS UNIT 4,80,58,52,46,40,34,29
2023,january,PH05,PHYSICS UNIT 5,80,56,50,44,38,33,28
2023,january,PS01,PSYCHOLOGY UNIT 1,90,,59,51,43,36,29
2023,january,PS02,PSYCHOLOGY UNIT 2,90,,65,56,47,39,31
2023,january,PS03,PSYCHOLOGY UNIT 3,90,72,63,54,45,36,28
2023,january,PS04,PSYCHOLOGY UNIT 4,90,72,62,52,43,34,25
2025,january,BL01,BIOLOGY UNIT 1,75,,52,46,41,36,31
2025,january,BL02,BIOLOGY UNIT 2,75,,46,41,36,32,28
2025,january,BL03,BIOLOGY UNIT 3,75,51,46,41,36,32,28
2025,january,BL04,BIOLOGY UNIT 4,75,53,48,43,38,33,28
2025,january,BL05,BIOLOGY UNIT 5,75,52,47,42,37,33,29
2025,january,BU01,BUSINESS UNIT 1,80,,56,49,42,35,28
2025,january,BU02,BUSINESS UNIT 2,80,,53,46,39,32,25
2025,january,BU03,BUSINESS UNIT 3,80,62,55,48,41,34,27
2025,january,BU04,BUSINESS UNIT 4,80,69,61,53,45,38,31
2025,january,CH01,CHEMISTRY UNIT 1,70,,54,48,42,36,30
2025,january,CH02,CHEMISTRY UNIT 2,70,,53,46,39,32,26
2025,january,CH03,CHEMISTRY UNIT 3,80,68,60,52,44,36,29
2025,january,CH04,CHEMISTRY UNIT 4,80,70,62,54,47,40,33
2025,january,CH05,CHEMISTRY UNIT 5,60,52,46,40,34,29,24
2025,january,EC01,ECONOMICS UNIT 1,80,,59,51,43,35,27
2025,january,EC02,ECONOMICS UNIT 2,80,,58,51,44,37,30
2025,january,EC03,ECONOMICS UNIT 3,90,72,64,56,48,40,33
2025,january,EC04,ECONOMICS UNIT 4,90,73,65,57,49,41,33
2025,january,EN01,ENGLISH LANGUAGE UNIT 1,50,,39,34,29,25,21
2025,january,EN02,ENGLISH LANGUAGE UNIT 2,50,,37,33,29,25,21
2025,january,EN03,ENGLISH LANGUAGE UNIT 3,50,44,39,34,29,25,21
2025,january,EN04A,ENGLISH LANGUAGE UNIT 4A,50,45,40,35,30,25,20
2025,january,LT01,ENGLISH LITERATURE UNIT 1,50,,33,28,23,18,14
2025,january,LT02,ENGLISH LITERATURE UNIT 2,50,,34,29,24,19,15
2025,january,LT03,ENGLISH LITERATURE UNIT 3,50,41,36,31,26,21,17
2025,january,LT04A,ENGLISH LITERATURE UNIT 4A,50,35,31,27,23,19,16
2025,january,FM01,FURTHER MATHS UNIT 1 (FP1),80,,63,54,45,37,29
2025,january,FM02,FURTHER MATHS UNIT 2 (FPSM1),80,,63,55,47,39,31
2025,january,FM03,FURTHER MATHS UNIT 3 (FP2),120,102,92,79,67,55,43
2025,january,FM04,FURTHER MATHS UNIT 4 (FS2),80,71,62,53,44,35,27
2025,january,FM05,FURTHER MATHS UNIT 5 (FM2),80,69,61,53,45,37,30
2025,january,GG01A,GEOGRAPHY UNIT 1 OPTION A,80,,50,44,38,32,26
2025,january,GG01B,GEOGRAPHY UNIT 1 OPTION B,80,,50,43,37,31,25
2025,january,GG02,GEOGRAPHY UNIT 2,80,,50,44,38,32,26
2025,january,GG03,GEOGRAPHY UNIT 3,80,57,50,43,36,30,24
2025,january,GG04,GEOGRAPHY UNIT 4,80,57,50,43,36,30,24
2025,january,GG05,GEOGRAPHY UNIT 5,60,49,43,37,31,25,20
2025,january,MA01,MATHS UNIT 1 (P1),80,,60,51,43,35,27
2025,january,MA02,MATHS UNIT 2 (PSM1),80,,62,54,46,38,31
2025,january,MA03,MATHS UNIT 3 (P2),120,106,94,82,70,58,47
2025,january,MA04,MATHS UNIT 4 (S2),80,72,64,56,48,40,33
2025,january,MA05,MATHS UNIT 5 (M2),80,70,62,54,46,38,31
2025,january,PH01,PHYSICS UNIT 1,80,,52,46,41,36,31
2025,january,PH02,PHYSICS UNIT 2,80,,55,48,42,36,30
2025,january,PH03,PHYSICS UNIT 3,80,67,60,53,47,41,35
2025,january,PH04,PHYSICS UNIT 4,80,64,58,52,46,40,34
2025,january,PH05,PHYSICS UNIT 5,80,59,53,47,41,35,29
2025,january,PS01,PSYCHOLOGY UNIT 1,90,,61,53,45,37,30
2025,january,PS02,PSYCHOLOGY UNIT 2,90,,66,57,48,40,32
2025,january,PS03,PSYCHOLOGY UNIT 3,90,76,67,58,50,42,34
2025,january,PS04,PSYCHOLOGY UNIT 4,90,74,65,56,47,39,31
2024,january,BL01,BIOLOGY UNIT 1,75,,49,43,37,31,26
2024,january,BL02,BIOLOGY UNIT 2,75,,47,42,37,32,27
2024,january,BL03,BIOLOGY UNIT 3,75,52,47,42,37,33,29
2024,january,BL04,BIOLOGY UNIT 4,75,51,46,41,37,33,29
2024,january,BL05,BIOLOGY UNIT 5,75,48,44,40,36,32,28
2024,january,BU01,BUSINESS UNIT 1,80,,56,48,40,32,25
2024,january,BU02,BUSINESS UNIT 2,80,,54,46,39,32,25
2024,january,BU03,BUSINESS UNIT 3,80,63,55,47,39,32,25
2024,january,BU04,BUSINESS UNIT 4,80,68,60,52,44,37,30
2024,january,CH01,CHEMISTRY UNIT 1,70,,54,46,39,32,25
2024,january,CH02,CHEMISTRY UNIT 2,70,,52,44,36,28,21
2024,january,CH03,CHEMISTRY UNIT 3,80,68,60,52,44,36,29
2024,january,CH04,CHEMISTRY UNIT 4,80,68,59,50,42,34,26
2024,january,CH05,CHEMISTRY UNIT 5,60,52,46,40,34,29,24
2024,january,EC01,ECONOMICS UNIT 1,80,,58,50,42,34,27
2024,january,EC02,ECONOMICS UNIT 2,80,,59,51,43,36,29
2024,january,EC03,ECONOMICS UNIT 3,90,72,64,56,48,40,33
2024,january,EN01,ENGLISH LANGUAGE UNIT 1,50,,38,33,28,24,20
2024,january,EN02,ENGLISH LANGUAGE UNIT 2,50,,37,33,29,25,21
2024,january,EN03,ENGLISH LANGUAGE UNIT 3,50,44,39,34,29,25,21
2024,january,EN04A,ENGLISH LANGUAGE UNIT 4A,50,45,40,35,30,25,20
2024,january,LT01,ENGLISH LITERATURE UNIT 1,50,,34,29,24,19,14
2024,january,LT02,ENGLISH LITERATURE UNIT 2,50,,34,29,24,19,14
2024,january,LT03,ENGLISH LITERATURE UNIT 3,50,41,36,31,26,21,17
2024,january,LT04A,ENGLISH LITERATURE UNIT 4A,50,35,31,27,23,19,16
2024,january,FM01,FURTHER MATHS UNIT 1 (FP1),80,,63,55,47,39,31
2024,january,FM02,FURTHER MATHS UNIT 2 (FPSM1),80,,63,54,46,38,30
2024,january,FM03,FURTHER MATHS UNIT 3 (FP2),120,105,93,81,69,57,45
2024,january,FM04,FURTHER MATHS UNIT 4 (FS2),80,66,58,50,42,34,26
2024,january,FM05,FURTHER MATHS UNIT 5 (FM2),80,73,67,57,48,39,30
2024,january,GG01A,GEOGRAPHY UNIT 1 OPTION A,80,,50,44,38,32,26
2024,january,GG01B,GEOGRAPHY UNIT 1 OPTION B,80,,50,44,38,32,26
2024,january,GG02,GEOGRAPHY UNIT 2,80,,50,43,37,31,25
2024,january,GG03,GEOGRAPHY UNIT 3,80,57,50,43,36,30,24
2024,january,GG04,GEOGRAPHY UNIT 4,80,57,50,43,36,30,24
2024,january,GG05,GEOGRAPHY UNIT 5,60,49,43,37,31,25,20
2024,january,MA01,MATHS UNIT 1 (P1),80,,60,51,43,35,27
2024,january,MA02,MATHS UNIT 2 (PSM1),80,,63,54,46,38,30
2024,january,MA03,MATHS UNIT 3 (P2),120,107,95,83,71,59,47
2024,january,MA04,MATHS UNIT 4 (S2),80,72,64,56,48,40,32
2024,january,MA05,MATHS UNIT 5 (M2),80,71,63,55,47,39,31
2024,january,PH01,PHYSICS UNIT 1,80,,49,43,37,32,27
2024,january,PH02,PHYSICS UNIT 2,80,,45,40,35,30,25
2024,january,PH03,PHYSICS UNIT 3,80,52,46,40,34,29,24
2024,january,PH05,PHYSICS UNIT 5,80,51,45,39,33,27,21
2024,january,PS01,PSYCHOLOGY UNIT 1,90,,61,53,45,37,30
2024,january,PS02,PSYCHOLOGY UNIT 2,90,,66,57,48,40,32
2024,january,PS03,PSYCHOLOGY UNIT 3,90,77,68,59,50,42,34
2024,january,PS04,PSYCHOLOGY UNIT 4,90,75,66,57,48,39,31
2019,january,BL01,BIOLOGY UNIT 1,75,,51,45,39,34,29
2019,january,BL02,BIOLOGY UNIT 2,75,,48,43,38,33,28
2019,january,BL03,BIOLOGY UNIT 3,75,53,48,43,38,33,29
2019,january,CH01,CHEMISTRY UNIT 1,70,,54,47,40,34,28
2019,january,CH02,CHEMISTRY UNIT 2,70,,54,47,40,34,28
2019,january,CH03,CHEMISTRY UNIT 3,80,70,61,51,41,32,23
2019,january,CH04,CHEMISTRY UNIT 4,80,68,59,50,42,34,26
2019,january,CH05,CHEMISTRY UNIT 5,60,50,44,38,32,26,21
2019,january,EN01,ENGLISH LANGUAGE UNIT 1,50,,40,35,30,25,20
2019,january,EN02,ENGLISH LANGUAGE UNIT 2,50,,40,35,30,25,20
2019,january,FM01,FURTHER MATHEMATICS UNIT 1,80,,64,55,46,38,30
2019,january,FM02,FURTHER MATHEMATICS UNIT 2,80,,62,54,46,38,30
2019,january,MA01,MATHEMATICS UNIT 1,80,,64,55,46,37,29
2019,january,MA02,MATHEMATICS UNIT 2,80,,64,55,46,38,30
2019,january,PH01,PHYSICS UNIT 1,80,,51,45,39,34,29
2019,january,PH03,PHYSICS UNIT 3,80,56,50,44,39,34,29
2019,january,PH04,PHYSICS UNIT 4,80,57,51,45,39,34,29
2019,january,PH05,PHYSICS UNIT 5,80,56,50,44,38,33,28
2022,january,BL01,BIOLOGY UNIT 1,75,,48,42,36,30,25
2022,january,BL02,BIOLOGY UNIT 2,75,,45,40,35,30,25
2022,january,BL03,BIOLOGY UNIT 3,75,52,46,40,35,30,25
2022,january,BL04,BIOLOGY UNIT 4,75,49,44,39,35,31,27
2022,january,BL05,BIOLOGY UNIT 5,75,49,44,39,35,31,27
2022,january,BU01,BUSINESS UNIT 1,80,,56,49,42,35,29
2022,january,BU02,BUSINESS UNIT 2,80,,54,47,41,35,29
2022,january,BU03,BUSINESS UNIT 3,80,69,61,53,45,37,30
2022,january,BU04,BUSINESS UNIT 4,80,69,61,53,45,37,30
2022,january,CH01,CHEMISTRY UNIT 1,70,,52,45,38,32,26
2022,january,CH02,CHEMISTRY UNIT 2,70,,52,45,38,32,26
2022,january,CH03,CHEMISTRY UNIT 3,80,64,56,48,40,33,26
2022,january,CH04,CHEMISTRY UNIT 4,80,63,55,47,39,31,23
2022,january,CH05,CHEMISTRY UNIT 5,60,49,43,37,32,27,22
2022,january,EC01,ECONOMICS UNIT 1,80,,59,51,43,35,28
2022,january,EC02,ECONOMICS UNIT 2,80,,59,51,43,35,28
2022,january,EN01,ENGLISH LANGUAGE UNIT 1,50,,39,34,29,24,19
2022,january,EN02,ENGLISH LANGUAGE UNIT 2,50,,36,31,26,22,18
2022,january,EN03,ENGLISH LANGUAGE UNIT 3,50,43,38,33,28,23,19
2022,january,LT01,ENGLISH LITERATURE UNIT 1,50,,33,27,22,17,12
2022,january,GG02,GEOGRAPHY UNIT 2,80,,52,45,38,31,24
2022,january,FM01,FURTHER MATHEMATICS UNIT 1,80,,59,51,43,35,28
2022,january,FM02,FURTHER MATHEMATICS UNIT 2,80,,59,51,43,36,29
2022,january,FM03,FURTHER MATHEMATICS UNIT 3,120,100,88,76,64,53,42
2022,january,FM04,FURTHER MATHEMATICS UNIT 4,80,62,54,46,39,32,25
